title_product_a,title_product_b,manufacturer_a,manufacturer_b,product_a_barcode,product_b_barcode,m_source_id,c_source_id
"VitirON KIDS SPORTS for ENERGY, 50 kramtomųjų guminukų","VITIRON KIDS SPORTS, 50 kramtomųjų guminukų",VITIRON,vitiron,4771295306615,4771295306615,477129530661,18656
"BIODERMA apsauginis kremas nuo saulės visų tipų odai PHOTODERM AQUAFLUIDE, SPF50+, 40 ml","BIODERMA apsauginis kremas nuo saulės, visų tipų odai PHOTODERM AQUAFLIUDE, SPF50+, 40 ml",BIODERMA,bioderma,3701129807385,3701129807385,340156119771,17432
"SUVARTAR, 160mg, plėvele dengtos tabletės, N28","AKUKU neperšlampantis paklotas kūdikio pervystymui PEVA, pelėdos, 55 cm x 70 cm, 1 vnt.",SUVARTAR,akuku,100000004077,5907644002542,202583,22930
"SUVARTAR, 160mg, plėvele dengtos tabletės, N28","AKUKU neperšlampantis paklotas kūdikio pervystymui PEVA, pelėdos, 55 cm x 70 cm, 1 vnt.",SUVARTAR,akuku,100000004077,5907644002542,202583,22930
"OILEDIXIN sirupas NIAM-NIAM, 30 ml","OILEDIXIN NIAM- NIAM, 30 ml",OILEDIXIN,oiledixin,4779028381007,4779028381007,477902838100,15805
"ACORUS BALANCE COLON DETOX + FIBER, 100 kapsulių","ACORUS BALANCE COLON DETOX, 100 kaps.",ACORUS BALANCE,acorus-balance,4770161103235,4770161103235,477016110323,18580
"TENA sauskelnės SLIP SUPER, L dydis, 28 vnt.","TENA sauskelnės Slip Super, L, 28 vnt.",TENA,tena,7322540646894,7322540646894,732254005491,22757
"LIVOL MULTI MOTERIMS, 60 tablečių","LIVOL MULTI moterims, 60 tab.",LIVOL,livol,5702071366553,5702071366553,570207931114,22205
"VITIRON D3 OLIVE  SUN 1000 IU, apelsinų skonio, 10 ml","VITIRON purškalas D3 OLIVE SUN, 1000 IU, 10 ml",VITIRON,vitiron,4771295305878,4771295305878,477129530587,17443
"BABOO dubenėlis su dangteliu ir šaukšteliu, rožinė spalva, nuo 6 mėn., 1 vnt.","BABOO dubenėlis su dangteliu ir šaukšteliu, nuo 6 mėn., rožinės spalvos, 1 vnt.",BABOO,baboo,5057778090271,5057778090271,505777809027,19912
"ECOSH pieno rūgšties bakterijų kompleksas ECOBIOTIC, 40 kapsulių","ECOSH pieno rūgšties bakterijų kompleksas ECOBIOTIC, 40 kaps.",ECOSH,ecosh,4741609264900,4741609264900,474160926490,18888
"XEFO, 4mg, plėvele dengtos tabletės, N20","Q+A kūno šveitiklis su AHA rūgštimi, 250 ml",XEFO,q-a,474127310658,5060486266265,047577,21249
"XEFO, 4mg, plėvele dengtos tabletės, N20","Q+A kūno šveitiklis su AHA rūgštimi, 250 ml",XEFO,q-a,474127310658,5060486266265,047577,21249
"COREGA fiksuojamasis ypač gaivus dantų protezų kremas, 40 g","COREGA ypač gaivus protezus fiksuojantis kremas, 40 g",COREGA,corega,4742041002273,4742041002273,474204100227,15017
"B. WELL automatinis kraujospūdžio matuoklis MED-55, 1 vnt.",B.WELL automatinis kraujospūdžio matuoklis MED-55,B.WELL,b-well,7640156395549,7640156395549,764015639554,19215
"SENI įklotai nelaikantiems šlapimo MAN EXTRA LEVEL 3, 15 vnt.","SENI įklotai vyrams Man Extra Level 3, 15 vnt.",SENI,seni,5900516801670,5900516801670,220859,20839
"Lymphomyosot, Tabletės, N50","CURASEPT burnos skalavimo skystis DAYCARE BOOSTER FROZEN MINT, 250 ml",LYMPHOMYOSOT,curasept,100000000653,8056746073176,044452,21078
"Lymphomyosot, Tabletės, N50","CURASEPT burnos skalavimo skystis DAYCARE BOOSTER FROZEN MINT, 250 ml",LYMPHOMYOSOT,curasept,100000000653,8056746073176,044452,21078
"CURASEPT skalavimo skystis DAYCARE BOOSTER FROZEN MINT, mėtų skonio, 250 ml","CURASEPT burnos skalavimo skystis DAYCARE BOOSTER FROZEN MINT, 250 ml",CURASEPT,curasept,8056746073176,8056746073176,221520,21078
"MADARA šampūnas dažytiems plaukams, 250 ml","MADARA šampūnas dažytiems plaukams, 250 ml",MADARA,madara,4751009821467,4751009821467,475100982146,19383
"MADARA plaukų dulksna su keratinu SILK, 90 ml","MADARA plaukų dulksna su keratinu SILK, 90 ml",MADARA,madara,4752223006524,4752223006524,475222300652,19387
"FOAM LITE tvarstis CONVATEC, 5,5 cm x 12 cm, 10 vnt.","FOAM tvarstis Lite, 5,5 cm x 12 cm, 10 vnt.",FOAM LITE,convatec,7684551423780,768455142378,210844,16809
"DENTISSIMO dantų pasta PRO WHITENING, 75 ml","DENTISSIMO balinanti dantų pasta PRO- WHITENING, 75 ml",DENTISSIMO,dentissimo,7640162322348,7640162322348,764016232234,19763
"DOXYCYCLIN STADA, 100mg, Tabletės, N10","PURING kasdienis šampūnas EVERYDAY, 300 ml",DOXYCYCLIN STADA,puring,100000000773,8053853725783,015704,21724
"ALAUS MIELĖS, 180 tablečių","SENI sauskelnės CLASSIC QUATRO, XL, 30 vnt.",ALAUS MIELĖS,seni,4779032370165,5900516696542,477903237016,27332
"ALAUS MIELĖS, 180 tablečių","SENI sauskelnės CLASSIC QUATRO, XL, 30 vnt.",ALAUS MIELĖS,seni,4779032370165,5900516696542,477903237016,27332
"PENTASA , 2g, pailginto atpalaidavimo granulės, N60","YOU 2.0 mastermind Gaba, 90 kaps.",PENTASA,you-2-0,100000002796,4779055090460,202774,23035
"PENTASA , 2g, pailginto atpalaidavimo granulės, N60","YOU 2.0 mastermind Gaba, 90 kaps.",PENTASA,you-2-0,100000002796,4779055090460,202774,23035
"YOU 2.0 MASTERMIND GABA, nuo 12 m., 90 kapsulių","YOU 2.0 mastermind Gaba, 90 kaps.",YOU 2.0,you-2-0,4779055090460,4779055090460,477905509046,23035
"HUGGIES sauskelnės-kelnaitės DRYNITES GIRL, 2757 kg, 815 m., 9 vnt.","SWANSON raudonųjų mielių ryžiai, 600 mg, 60 kaps.",HUGGIES,swanson,1000002020777,087614029917,202077,26523
"HUGGIES sauskelnės-kelnaitės DRYNITES GIRL, 2757 kg, 815 m., 9 vnt.","SWANSON raudonųjų mielių ryžiai, 600 mg, 60 kaps.",HUGGIES,swanson,1000002020777,087614029917,202077,26523
"MARGARITA kreminis veido prausiklis su ekologiška beržų sula ir vaistažolių ekstraktais SENSITIVE SKIN, 250 ml","MARGARITA kreminis veido prausiklis su ekologiška beržų sula ir vaistažolių ekstraktais SENSITIVE SKIN, 250 ml",MARGARITA,margarita,4770001003602,4770001003602,224014,18780
"ELGON GREEN natūralus nenuplaunamas kondicionierius IMAGEA PHYTOELISIR, 150 ml","ELGON nenuplaunamas natūralus plaukų kondicionierius IMAGEA PHYTOELISIR, 150 ml",ELGON,elgon,8053264517991,8053264517991,805326451799,18908
"APIVITA stangrinamoji veido kaukė su bičių pieneliu EXPRESS BEAUTY, 8 ml x 2 vnt.","APIVITA stangrinamoji veido kaukė su bičių pieneliu EXPRESS BEAUTY, 2 vnt., 8 ml",APIVITA,apivita,5201279076849,5201279076849,520127907227,19166
"DR. HAUSCHKA lengvas dieninis veido kremas su rožių ekstraktu, LT-EKO-001, 30 ml","DR. HAUSCHKA lengvas rožių veido kremas, 30 ml",DR. HAUSCHKA,dr-hauschka,4020829006683,4020829006683,402082970713,19401
"WELEDA masažo aliejus ARNIKA, 100 ml","WELEDA masažo aliejus su arnika, 100 ml",WELEDA,weleda,4001638500814,4001638500814,400163850081,22778
"SOLIDU kietasis plaukų kondicionierius HAIR CANDY, 55 g","SOLIDU kietasis plaukų kondicionierius HAIR CANDY, 55 g",SOLIDU,solidu,4779047130105,4779047130105,477904713010,22993
"Q + A bealiejis drėkinamasis veido kremas su aminorūgštimis, 75 ml","Q+A drėkinamasis veido kremas su aminorūgštimis, 75 ml",Q+A,q-a,5060486264667,5060486264667,227762,27185
"DERMOMASK NIGHT ACTIVE atstatomoji veido kaukė MEZOTERAPIJA, 12 ml","L`BIOTICA atstatomoji veido kaukė DERMOMASK NIGHT ACTIVE, 12 ml",DERMOMASK,l-biotica,590527907009,5905279070097,590527907009,18687
"PHILIPS AVENT dekoruotas buteliukas NATURAL, rausva spalva, 260 ml","PHILIPS AVENT buteliukas NATURAL, dekoruotas, rausvos spalvos, 260 ml",AVENT,avent,871010366209,8710103870081,871010366209,27483
"JUNIOR-ANGIN vaikiškos pastilės, braškių skonio, nuo 4 m., 24 Pastilės",ZYRTEC 10 mg plėvele dengtos tabletės N10,JUNIOR-ANGIN,zyrtec,4008617150886,4779049421034,400861715088,23103
"JUNIOR-ANGIN vaikiškos pastilės, braškių skonio, nuo 4 m., 24 Pastilės",ZYRTEC 10 mg plėvele dengtos tabletės N10,JUNIOR-ANGIN,zyrtec,4008617150886,4779049421034,400861715088,23103
"ZYRTEC, 10mg, plėvele dengtos tabletės, N10",ZYRTEC 10 mg plėvele dengtos tabletės N10,ZYRTEC,zyrtec,100000217624,4779049421034,217624,23103
"bioMAGNIS 500 MG + bioKALIS 500 MG FORTE, 20 pakelių","BIOFARMACIJA BIOMAGNIS 500 mg + BIOKALIS 500 mg FORTE, 20 pakelių",BIOFARMACIJA,biofarmacija,7280010164494,7280010164494,728001016449,18262
"CEVIKAP, 100mg/ml, 30ml, geriamieji lašai, tirpalas, N1","OLKO švirkštynė NR.9 M/A, 270 ml",CEVIKAP,olko,590752941342,4750837000259,844775,21991
"ALFUZOSIN-TEVA, 10mg, pailginto atpalaidavimo tabletės, N30","PERSKINDOL gelis raumenims ir sąnariams ACTIVE, 100 ml",ALFUZOSIN-TEVA,perskindol,477129530501,7640167721726,477129530501,22399
"PERSKINDOL ACTIVE gelis raumenims ir sąnariams, 100 ml","PERSKINDOL gelis raumenims ir sąnariams ACTIVE, 100 ml",PERSKINDOL,perskindol,7640167722488,7640167721726,501473475903,22399
"SENI CARE kremas išsausėjusiai ir suragėjusiai odai, 100 ml","SENI CARE kremas sausai, suragėjusiai odai su 10 % šlapalo, 100 ml",SENI,seni,5900516651909,5900516651909,590051665077,15240
"BALANIL gelis, 40 ml","BALANIL gelis, 40 ml",BALANIL,balanil,8031359060140,8031359060140,227135,25174
"VICHY veido kremas AQUALIA THERMAL LIGHT, 50 ml","VICHY drėkinamasis veido kremas normaliai ir mišriai odai AQUALIA THERMAL LIGHT, 50 ml",VICHY,vichy,3337875588829,3337875588829,333787558882,22681
"BIODERMA priemonė padedanti mažinti mėlynes, sumušimus, patinimus CICABIO ARNICA+, 40 ml","BIODERMA priemonė padedanti mažinti mėlynes, sumušimus, patinimus CICABIO ARNICA+, 40 ml",BIODERMA,bioderma,3401398303648,3401398303648,340139830364,15898
"Sterilios marlinės servetėlės N5, 10 x 20 cm, 5 vnt.","Marlinės, sterilios servetėlės, 10 cm x 20 cm, 8 sluoksnių, 5 vnt.",KITA,kita,4779021090586,4779021090586,991071,14851
"TENA sauskelnės FLEX PLUS, M dydis, 30 vnt.","TENA sauskelnės Flex Plus, M, 30 vnt.",TENA,tena,7322541407104,7322541407104,731079126014,21919
"RINOPANTEINA nosies tepalas, 10 g","RINOPANTEINA tepalas, 10 g",RINOPANTEINA,rinopanteina,8034125180967,8034125180967,909971398,22431
"DUREX gelis intymiam komfortui ir masažui ALOE VERA, 200 ml","DUREX intymaus komforto ir masažo gelis ALOE VERA, 200 ml",DUREX,durex,5038483382561,5038483382561,503848338256,22646
"ACORUS BALANCE COLLAGEN BEAUTY SHOTS, 14 buteliukų","ACORUS BALANCE COLLAGEN BEAUTY SHOTS, 25 ml, 14 vnt.",ACORUS BALANCE,acorus-balance,4770161102153,4770161102153,477016110215,18554
"JORDAN ypač minkštas dantų šepetėlis GUM PROTECTOR, 1 vnt.+Higieninis dėkliukas, 1 vnt.","AFTER BITE kremas po vabzdžių įkandimo, vaikams KIDS, 20 g",JORDAN,after-bite,7038516545404,044224610805,703851654540,22712
"JORDAN ypač minkštas dantų šepetėlis GUM PROTECTOR, 1 vnt.+Higieninis dėkliukas, 1 vnt.","AFTER BITE kremas po vabzdžių įkandimo, vaikams KIDS, 20 g",JORDAN,after-bite,7038516545404,044224610805,703851654540,22712
"CLINERAL kreminė galvos odos kaukė BY AHAVA PSO, 200 ml","CLINERAL BY AHAVA kreminė galvos odos kaukė PSO, 200 ml",CLINERAL,clineral,6970450077522,697045007752,697045007752,19223
"SEBAMED rutulinis kreminis dezodorantas FOR MEN, 50 ml","SEBAMED rutulinis dezodorantas vyrams jautriai odai, 50 ml",SEBAMED,sebamed,4103040158819,4103040158819,410304015039,22217
"PHILIPS AVENT silikoniniai antspeniai, maži, 15 mm, 2 vnt.","PHILIPS silikoniniai antspeniai, 15 mm, 2 vnt.",AVENT,avent,8710103907640,8710103907640,871010390764,18598
"SMART WAY purškiamas maisto papildas VITAMINAS D3, 4000 TV, mėtų ir citrinų skonio, 30 ml","SMART WAY Vitamin D3 4000 UI, purškiamas, 30 ml",SMART WAY,smart-way,4742024580231,4742024580231,474202458023,21046
"NITROMINT, 2,6mg, pailginto atpalaidavimo tabletės, N60","SMART WAY Vitamin D3 4000 UI, purškiamas, 30 ml",NITROMINT,smart-way,05995327139524,4742024580231,012517,21046
"NITROMINT, 2,6mg, pailginto atpalaidavimo tabletės, N60","SMART WAY Vitamin D3 4000 UI, purškiamas, 30 ml",NITROMINT,smart-way,05995327139524,4742024580231,012517,21046
"ROYAL DENTA minkštas dantų šepetėlis SILVER SOFT, 1 vnt.","ROYAL DENTA minkštas dantų šepetėlis SILVER SOFT, 1 vnt.",ROYAL DENTA,royal-denta,8809211892020,4779033520187,880921189107,15114
"AIMX paakių lakštinė kaukė su hialuronu REVIVE ME, 1 vnt.","AIMX drėkinanti ir gaivinanti paakių kaukė su hialuronu REVIVE ME, 1 pora",AIMX,aimx,4771632315263,4771632315263,477163231526,20080
"VALSACOMBI, 160mg/12,5mg, plėvele dengtos tabletės, N28","BERES DROPS PLUS lašai SOL, 30 ml",VALSACOMBI,beres,383898956614,5997207713602,383898956614,22599
"VALSACOMBI, 160mg/12,5mg, plėvele dengtos tabletės, N28","BERES DROPS PLUS lašai SOL, 30 ml",VALSACOMBI,beres,383898956614,5997207713602,383898956614,22599
"BERES DROPS geriamieji lašai, nuo 4 m., 30 ml","BERES DROPS PLUS lašai SOL, 30 ml",BERES DROPS,beres,599720771360,5997207713602,599720771360,22599
"PREGNAWISH, 30 paketėlių","PREGNAWISH veganiškas, be gliuteno, 30 vnt.",PREGNAWISH,pregnawish,4260689089888,4260689089888,426068908988,18748
"A-DERMA veido ir kūno balzamas-emolientas labai sausai, atopinei odai EXOMEGA CONTROL, nuo gimimo, 200 ml","A-DERMA balzamas emolientas EXOMEGA CONTROL, 200 ml",A-DERMA,a-derma,3282770149715,3282770149715,219661,17356
"BABOO gertuvė 360° SAFARI, oranžinė spalva, nuo 6 mėn., 300 ml","BABOO gertuvė 360 SAFARI, nuo 6 mėn., 300 ml",BABOO,baboo,5057778081347,5057778081347,505777808134,19922
"NORDEPLAST kineziologijos juosta, šviesiai mėlyna spalva, 5 cm x 5 m, 1 vnt.","NORDEPLAST kineziterapinis pleistras, žydros spalvos, 5 cm x 5 m, 1 vnt.",NORDEPLAST,nordeplast,4751028536137,4751028536137,475102853613,26470
"ADAM&EVA lubrikantas CLASSIC, bekvapis, 100 ml","ADAM & EVA gelis-lubrikantas CLASSIC, 100 ml",ADAM&EVA,adam-eva,4750743000855,4750743000855,475074300085,26467
"RENE FURTERER švelnus micelinis šampūnas su ekologiškų levandų vandeniu ir ricinos aliejumi kasdieniam naudojimui NATURIA, 400 ml","RENE FURTERER švelnus kasdieninio naudojimo šampūnas NATURIA, 400 ml",RENE FURTERER,rene-furterer,3282770152685,3282770152685,219878,19795
"NUTRILESS kreminė daržovių skonio sriuba, 175 g","NUTRILESS kreminė daržovių skonio sriuba, 5 maišeliai",NUTRILESS,nutriless,7070866035679,7070866035679,220203,18927
"NISITA mineralinis nosies tepalas NASENSALBE, 20 g","SVR drėkinamasis kūno kremas su grynuoju šlapalu 10% XERIAL 10 LAIT, 400 ml",NISITA NASENSALBE,svr,4104480570834,3662361002429,047408,21349
"SVR kūno pienelis su 10 % šlapalo XERIAL 10, 400 ml","SVR drėkinamasis kūno kremas su grynuoju šlapalu 10% XERIAL 10 LAIT, 400 ml",SVR,svr,3662361002429,3662361002429,340381382124,21349
"ŠVF NEURO-3 MIEGUI geriamieji lašai su melatoninu, 25 ml","ŠVF geriamieji lašai su melatoninu NEURO-3 MIEGUI, 25 ml",ŠVF,svf,4770161101477,4770161101477,477016110147,19360
"INNOVATIVE PHARMA HEALTHY EYES GUMMIES, 60 guminukų","INNOVATIVE PHARMA guminukai akims HEALTHY EYES GUMMIES, 60 vnt.",INNOVATIVE PHARMA,innovative-pharma,4779034470924,4779034470924,477903447092,19860
"SENI CARE kūno emulsija su 4 proc. šlapalu UREA, 500 ml","GOLLO PLUS, (30+30), 60 tab.",SENI,gollo,5900516651855,8052744660325,590051669309,27292
"SENI CARE kūno emulsija su 4 proc. šlapalu UREA, 500 ml","GOLLO PLUS, (30+30), 60 tab.",SENI,gollo,5900516651855,8052744660325,590051669309,27292
"ELGON plaukų kaukė su argano aliejumi  ARGAN NUTRIENERGETIC, 250 ml","ELGON maitinamoji kaukė plaukams ARGAN NUTRIENERGETIC, 250 ml",ELGON,elgon,8050327682948,8050327682948,805032768294,18063
"SESDERMA jauninamasis veido serumas RETI AGE, 30 ml","SESDERMA jauninantis serumas su retinoliu RETIAGE, 30 ml",SESDERMA,sesderma,8429979417343,8429979417343,842997941734,19244
"NOREVA kremas nuo spuogų EXFOLIAC GLOBAL X-PRO, 30 ml","NOREVA kremas nuo spuogų EXFOLIAC GLOBAL-X-PRO, 30 ml",NOREVA,noreva,3571940004528,3571940004528,224020,21653
"LA ROCHE-POSAY serumas PURE NIACINAMIDE 10, 30 ml","LA ROCHE POSAY veido serumas Pure Niacinamide 10, 30 ml",LA ROCHE-POSAY,la-roche-posay,3337875791885,3337875791885,333787579188,20999
"IBUGARD, 60 mg, Žvakutės, N10",IBUGARD 60 mg žvakutės N10,IBUGARD,ibugard,100000217193,5903060618558,217193,18813
"SARIDON, Tabletės, N10",SARIDON tabletės N10,SARIDON,saridon,353451000390,3534510003901,016158,21751
"Espumisan, 40mg, Minkštosios kapsulės, N50",ESPUMISAN 40 mg minkštosios kapsulės N50,ESPUMISAN,espumisan,401305400200,4013054002001,017567,22075
"FISHERMANS FRIEND pastilės, mėtų skonio, nuo 5 m., 25 g",ESPUMISAN 40 mg minkštosios kapsulės N50,FISHERMAN,espumisan,0000961966568,4013054002001,100050819539,22075
"Theraflu 500 mg/6,1 mg/100 mg kietosios kapsulės, Kietosios kapsulės, N16",THERAFLU 500 mg/6.1 mg/100 mg kietosios kapsulės N16,THERAFLU,theraflu,505456302935,5054563029355,505456302935,15565
"ESSENTIALE FORTE N, 300 mg, Kietosios kapsulės, N30",ESSENTIALE FORTE N 300 mg kietosios kapsulės N30,ESSENTIALE,essentiale-forte-n,4030113617938,3664798001792,403011361793,17283
"FLUCINAR N, 0,25mg/5mg/g, Tepalas, N1",TAVEGYL 1 mg tabletės N20,FLUCINAR N,tavegyl,383004494342,4750769000259,042957,21182
"FLUCINAR N, 0,25mg/5mg/g, Tepalas, N1",TAVEGYL 1 mg tabletės N20,FLUCINAR N,tavegyl,383004494342,4750769000259,042957,21182
"TAVEGYL, Tabletės, N20",TAVEGYL 1 mg tabletės N20,TAVEGYL,tavegyl,475076900025,4750769000259,016595,21182
"MICROLAX, 4 x 5 ml, tiesiosios žarnos tirpalas, N4",MICROLAX 5 ml tiesiosios žarnos tirpalas N4,MICROLAX,microlax,100000000975,7381037680056,500064,22307
"FLEXISEQ OSTEOARTHRITIS gelis sąnariams, 50 g","FLEXISEQ gelis nuo sąnarių skausmo, 50 g",FLEXISEQ,flexiseq,5060280920370,5060280920370,206946,16456
"OLKO anpirščiai, 10 vnt.","OLKO guminis antpirštis, 10 vnt.",OLKO,olko,4779022109119,4750837000372,475083700037,15322
"CANPOL BABIES ausų krapštukai, 56 vnt.","CANPOL BABIES medvilniniai ausų krapštukai su ribotuvu, 56 vnt.",CANPOL,canpol,5903407031156,5903407031156,590340703115,18965
"PRURIGYNE kremas lytinių organų sričiai, 30 ml","PRURIGYNE kremas lytinių organų sričiai, pH 5.5, 30 ml",PRURIGYNE,prurigyne,8055348700336,8055348700336,805534870033,16445
"FITTYDENT dantų protezus valančios / dezinfekuojančios tabletės, 32 vnt.","FITTYDENT valančios, dezinfekuojančios tabletės protezams, 32 vnt.",FITTYDENT,fittydent,9002240009011,9002240009011,900224000901,15200
"HYDRO FORTE milteliai, 6 pakeliai","BIOFARMACIJA HYDRO FORTE, milteliai, 6 pakeliai",BIOFARMACIJA,hydro-forte,7290010115525,7290010115525,729001011552,19319
"IMUNITAL PLUS, 30 kapsulių","IMUNITAL PLUS, 30 kaps.",IMUNITAL,imunital,7640153060587,7640153060587,477901799266,16660
"SILICEA DIRECT, uogų skonio, 30 vnt., 15 ml","SILICEA gelis su biotinu ir selenu DIRECT, miško uogų skonio, 30 pakelių, 15 ml",SILICEA,silicea,4010160005261,4010160005261,206053,16286
"NATURA+ atviras maišelis, 38 mm, 10 vnt.","NATURA atviri maišeliai su filtru, dvigubas užsegimas INVISICLOSE, 38 mm, 10 vnt.",NATURA+,convatec,7684551140472,768455114047,204803,15496
"MAXIDEX, 1mg/g, 3,5 g, akių tepalas, N1","NOUGHTY balansuojantis šampūnas riebiai galvos odai su arbatmedžiu ir vitaminu B5 BACK TO BALANCE,  250 ml",MAXIDEX,noughty,000000012225,5060523010431,012225,21454
"BABOO silikoninis seilinukas TRANSPORT, 4+ mėn., 1 vnt.","BABOO silikoninis seilinukas TRANSPORT, nuo 4 mėn., 1 vnt.",BABOO,baboo,5057778110078,5057778110078,505777811007,22942
"BORO PLUS kremas sausai odai HERBAL, 50 ml","BORO PLUS kremas HERBAL, 50 ml",BORO PLUS,boro-plus,8901248333085,8901248333085,506006852704,16426
"HE OR SHE gertuvė DENTAL CARE, 280 ml, nuo 9 mėn., mėlyna spalva, 1 vnt.","HEORSHE gertuvė DENTAL CARE, nuo 9 mėnesių, mėlyna, 280 ml",HEORSHE,heorshe,6802708041286,6802708041286,222292,20337
"ROYAL DENTA dantų šepetėlis GOLD MEDIUM, 1 vnt.","HEORSHE gertuvė DENTAL CARE, nuo 9 mėnesių, mėlyna, 280 ml",ROYAL DENTA,heorshe,8809211892013,6802708041286,880921189101,20337
"ROYAL DENTA dantų šepetėlis GOLD MEDIUM, 1 vnt.","HEORSHE gertuvė DENTAL CARE, nuo 9 mėnesių, mėlyna, 280 ml",ROYAL DENTA,heorshe,8809211892013,6802708041286,880921189101,20337
"TEPE tarpdančių šepetėliai, 0,8 mm, žalia spalva, 8 vnt.","TEPE tarpdančių šepetėlis, žalias, 0.8 mm, 8 vnt.",TEPE,tepe,7317400015422,7317400015422,222536,21831
"PERSPIREX antiperspirantas STRONG, 20 ml","PERSPIREX antiperspirantas rutulinis STRONG, 20 ml",PERSPIREX,perspirex,5701943010402,5701943010402,570194301040,18192
"GRASSOLIND NEUTRAL sterilus tinklelinis tvarstis, 10 x 10 cm, 1 vnt.","GRASSOLIND sterilus, tinklelinis tvarstis Neutral, 10 cm x 10 cm, 1 vnt.",GRASSOLIND,grassolind,4049500400046,4049500250832,404950025083,22742
"SESDERMA liposominis valiklis SENSYSES LIGHTENING, 200 ml","SESDERMA liposominis veido valiklis SENSYSES LIGHTENING, 200 ml",SESDERMA,sesderma,8429979414588,8429979414588,842997941458,19242
"SOLIDU kietas drėkinamasis kondicionierius su erškėtrožių sėklų aliejumi SILKPOP, 55 g","SOLIDU drėkinantis kondicionierius su erškėtrožių sėklų aliejumi SILKPOP, 55 g",SOLIDU,solidu,4779047130945,4779047130945,228329,21635
"BIORGA purškiamasis losjonas nuo plaukų slinkimo CYSTIPHANE B6, 125 ml","BIORGA losjonas nuo plauku slinkimo su cistinu ir B6 CYSTIPHANE, 125 ml",BIORGA,biorga,3660398504756,3660398504756,366039850099,22980
"TEPE tarpdančių šepetėliai, įvairių dydžių, labai minkšti, 8 vnt.","VIRONOX stiprus imunitetas+, 7 pak.",TEPE,vironox,7317400002385,4771316314469,222541,20706
"ZENYTH kvercetinas su vitaminais C, D ir cinku IMMUNE COMPLEX, 30 kapsulių","ZENYTH kvercetinas su vitaminais C, D ir cinku Immune Complex,30 kaps.",ZENYTH,zenyth,5941872402019,5941872402019,221461,20729
"SVR nagų gelis su 40 proc. šlapalu XERIAL 40, 10 ml","SVR gelis suragėjusiems nagams minkštinti su 40% Urea XERIAL 40 ONGLES, 10 ml",SVR,svr,3401395566091,3401395566091,340139556609,16831
"SVR kūno pienelis su 10 % šlapalo XERIAL 10, 200 ml","SVR kūno pienelis su 10% šlapalo XERIAL 10, 200 ml",SVR,svr,3662361002412,3662361002412,340139556532,16844
"FILORGA intensyviai maitinantis stagrinamasis veido kremas NUTRI-FILLER, 50 ml","FILORGA maitinamasis kremas NUTRI FILLER, 50 ml",FILORGA,filorga,3401162659230,3401162659230,340116265923,16939
"EQUILIBRA maisto papildas kepenims TOP FEGATO, 30 tablečių","EQUILIBRA TOP FEGATTO, 30 tab.",EQUILIBRA,equilibra,8000137001972,8000137001972,800013700197,26484
"SALCURA veido ir kūno prausiklis BIOSKIN JUNIOR, 200 ml","SALCURA veido ir kūno prausiklis JUNIOR, 200 ml",SALCURA,salcura,5060130032321,5060130032321,506013003232,17158
"DORZOLAMIDE ACTAVIS, 20mg/ml, 5 ml, akių lašai, tirpalas, N1","BIORYTHM ZINC, 30 kaps.",DORZOLAMIDE ACTAVIS,biorythm,100000203623,8596024027786,203623,27068
"BIORYTHM ZINC 15 MG, 30 kapsulių","BIORYTHM ZINC, 30 kaps.",BIORYTHM,biorythm,8596024027786,8596024027786,224225,27068
"REXSAVIT LIPO D3 2000, 30 kietųjų kapsulių","REXSAVIT vitaminas D3 liposomose LIPO, 2000 UI, 30 kietųjų kaps.",REXSAVIT,rexsan-pharmaceuticals,4779056720168,4779056720168,226797,27125
"NUXE maitinamasis ir stiprinamasis aliejinis kremas nuo senėjimo NUXURIANCE GOLD, 50 ml","NUXE maitinamasis ir stiprinantis aliejinis kremas veidui NUXURIANCE GOLD, 50 ml",NUXE,nuxe,3264680015908,3264680015908,7010443,19781
"CLINIC WAY, Nr.2 dieninis kremas nuo raukšlių 40+, SPF20, 50 ml","CLINIC WAY gyvybingumo suteikiantis dieninis veido kremas su retinoidais Nr.2, SPF20, 50 ml",CLINIC WAY,clinic-way,5900717574519,5900717574519,590071757041,19782
"SWISS IMAGE elastingumo suteikiantis paakių kremas ANTI-AGE, 36+, 15 ml","SWISS IMAGE paakių kremas Elasticity Boosting, 15 ml",SWISS IMAGE,swiss-image,7640140383453,7640140383453,764014038345,20597
"FOLKEPILLEN, 120 tablečių","SWISS IMAGE paakių kremas Elasticity Boosting, 15 ml",NEW NORDIC,swiss-image,5021807705818,7640140383453,502180770581,20597
"FOLKEPILLEN, 120 tablečių","SWISS IMAGE paakių kremas Elasticity Boosting, 15 ml",NEW NORDIC,swiss-image,5021807705818,7640140383453,502180770581,20597
"LA ROCHE-POSAY veido serumas RETINOL B3, 30 ml","LA ROCHE POSAY veido serumas Retinol B3, 30 ml",LA ROCHE-POSAY,la-roche-posay,3337875694469,3337875694469,220718,21004
"Allergodil, 0,05 % , 6 ml su lašintuvu, akių lašai, tirpalas, N1","KUKLA atkuriamasis plaukų aliejus COSMETICS, 100 ml",ALLERGODIL,kukla,000000048467,4779049690331,048467,21183
"Allergodil, 0,05 % , 6 ml su lašintuvu, akių lašai, tirpalas, N1","KUKLA atkuriamasis plaukų aliejus COSMETICS, 100 ml",ALLERGODIL,kukla,000000048467,4779049690331,048467,21183
